name,id,parent_id
Собаки,1,
Корм сухой,2,1
1st Choice,3,1
Acana,4,1
Лакомства,5,1
Взрослые,6,1
Пожилые,7,1
Щенки,8,1
Advance,9,1
Щенки,10,1
Взрослые,11,1
Пожилые,12,1
All Dogs,13,1
Alleva,14,1
Almo Nature,15,1
Alphapet,16,1
Arden Grange,17,1
Щенки,18,1
Взрослые,19,1
Пожилые,20,1
Barking Heads,21,1
Взрослые,22,1
Пожилые,23,1
Щенки,24,1
Belcando,25,1
Взрослые,26,1
Пожилые,27,1
Щенки,28,1
Berkley,29,1
Best Dinner,30,1
Bewi Dog,31,1
Blitz,32,1
Bon Appetit,33,1
Bosch,34,1
Взрослые,35,1
Пожилые,36,1
Щенки,37,1
Bozita,38,1
Беззерновой,39,1
Naturals,40,1
Взрослые,41,1
Щенки,42,1
Brit,43,1
Взрослые,44,1
Пожилые,45,1
Щенки,46,1
Акция Brit,47,1
BrooksField,48,1
Canagan,49,1
Chappi,50,1
Cibau,51,1
Clan,52,1
Clan Family,53,1
Classic Pets,54,1
Country Farms,55,1
Crave,56,1
Crockex,57,1
Darling,58,1
Dog Chow Purina,59,1
Взрослые,60,1
Пожилые,61,1
Щенки,62,1
Акция Dog Chow,63,1
Dogs Menu,64,1
Dr. Alder`s,65,1
Dr.Clauders,66,1
Ecopet,67,1
Eukanuba,68,1
Farmina,69,1
С киноа,70,1
С тыквой,71,1
Беззерновой,72,1
Низкозерновой,73,1
Fitmin,74,1
Friskies,75,1
Fun Dog,76,1
Gina,77,1
Glance,78,1
GO!,79,1
Golden Eagle,80,1
Взрослые,81,1
Пожилые,82,1
Щенки,83,1
Grand Prix,84,1
Happy Dog,85,1
Natur Croq,86,1
Profi-Line,87,1
Взрослые,88,1
Пожилые,89,1
Щенки,90,1
Hills,91,1
Взрослые,92,1
Пожилые,93,1
Щенки,94,1
Jump,95,1
Karmy,96,1
Kudo,97,1
Meglium,98,1
Morando,99,1
Mr.Buffalo,100,1
Natural Greatness,101,1
Nature`s Table,102,1
Nature’s Protection,103,1
Natyka,104,1
Nero Gold,105,1
Now,106,1
Nutram,107,1
Взрослые,108,1
Пожилые,109,1
Щенки,110,1
Nutro,111,1
Organix,112,1
Orijen,113,1
Pedigree,114,1
Denta Sticx,115,1
Взрослые,116,1
Щенки,117,1
Perfect Fit,118,1
Piccolo,119,1
Primordial,120,1
Pro Pac,121,1
Взрослые,122,1
Пожилые,123,1
Щенки,124,1
Pro Plan,125,1
Взрослые,126,1
Пожилые,127,1
Щенки,128,1
ProBalance,129,1
Pronature,130,1
Взрослые,131,1
Пожилые,132,1
Холистик,133,1
Щенки,134,1
Puffins,135,1
Purina One,136,1
Royal Canin,137,1
Для взрослых собак,138,1
Giant,139,1
Maxi,140,1
Medium,141,1
Mini,142,1
Отдельные породы,143,1
Пожилые,144,1
Щенки,145,1
Giant,146,1
Maxi,147,1
Medium,148,1
Mini,149,1
Молоко,150,1
Отдельные породы,151,1
Акции Royal Canin,152,1
Savarra,153,1
Schesir,154,1
Sirius,155,1
Smart Dog,156,1
Summit,157,1
Tasty,158,1
Trainer,159,1
Vivere,160,1
Wildy,161,1
Zillii,162,1
Верные друзья,163,1
Для Самых Преданных,164,1
Дог Ланч,165,1
Зоогурман,166,1
Мираторг-Winner,167,1
Наш рацион,168,1
Наша марка,169,1
Оскар,170,1
Прохвост,171,1
Родные корма,172,1
Терагав,173,1
ТитБит,174,1
Трапеза,175,1
Фаворит,176,1
Четвероногий гурман,177,1
Эккорм,178,1
Корм влажный,179,1
All Dogs,180,1
Almo Nature,181,1
HFC,182,1
Holistic,183,1
Classic,184,1
Daily Menu,185,1
Animonda,186,1
Arden Grange,187,1
Barking Heads,188,1
Belcando,189,1
Berkley,190,1
Big Dog,191,1
BioMenu,192,1
Blitz,193,1
Bozita,194,1
Brit,195,1
BrooksField,196,1
Cesar,197,1
Chappi,198,1
Clan Family,199,1
Crave,200,1
Dogs Menu,201,1
Dr. Alder`s,202,1
Edel Dog,203,1
Eukanuba,204,1
Farmina,205,1
FeliCat,206,1
Friskies,207,1
GimDog,208,1
GO!,209,1
Grand Prix,210,1
Happy Dog,211,1
Hill`s,212,1
Molina,213,1
Morando,214,1
Natures Protection,215,1
Nero Gold,216,1
Nuh,217,1
Nutro,218,1
Organix,219,1
Pedigree,220,1
Prime,221,1
Pro Plan,222,1
ProBalance,223,1
ProLapa,224,1
Purina One,225,1
Royal Canin,226,1
Savarra,227,1
Schesir,228,1
Solid Natura,229,1
Stuzzy,230,1
Trainer,231,1
Vita Pro,232,1
VitAnimals,233,1
Winner,234,1
Верные друзья,235,1
Деревенские лакомства,236,1
Дог Ланч,237,1
ЕмБезПроблем,238,1
Зоогурман,239,1
МнЯмс,240,1
Натуральная Формула,241,1
Наша марка,242,1
Оскар,243,1
Погрызухин,244,1
Прохвост,245,1
Родные корма,246,1
Собачье Счастье,247,1
СпецМяс,248,1
Терра Пес,249,1
ТитБит,250,1
Трапеза,251,1
Четвероногий гурман,252,1
Petibon,253,1
Готовый обед,254,1
Золотая линия,255,1
Мясное ассорти,256,1
